0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
17,4,13,2,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,100.0,334.0,494.0,494.0,334.0,0,2,0,1,2,0,0,0
24,18,19,13,6,6,0,4,4,4,4,2,2,4,4,4,4,2,4,4,4,2,2,2,4,4,4,2,2,0,0,0,4,4,4,4,2,6,6,6,6,6,6,6,6,6,8,4,4,2,0,0,0,0,332.0,764.0,938.0,938.0,764.0,1,2,1,2,1,2,1,0
18,20,20,8,6,8,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,0,0,2,2,2,2,2,4,6,6,6,8,6,6,6,6,6,6,6,4,2,2,2,0,0,284.0,749.0,769.0,769.0,749.0,1,2,1,1,2,0,0,0
18,23,20,12,6,8,0,4,4,4,4,4,2,2,4,4,4,2,4,4,2,2,2,4,4,4,4,2,2,0,0,2,2,2,2,2,2,6,6,6,8,6,6,6,6,6,8,6,6,4,2,2,0,0,308.0,877.0,802.0,802.0,877.0,1,2,1,2,2,1,1,1
18,18,20,6,4,6,0,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,4,4,0,0,2,2,2,2,2,4,6,6,6,8,6,6,6,6,6,6,6,4,2,2,2,0,0,247.0,665.0,761.0,761.0,665.0,1,2,1,1,3,0,0,0
22,11,15,6,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,6,6,4,0,0,0,0,0,0,228.0,493.0,749.0,749.0,493.0,0,2,0,1,2,0,0,0
15,12,15,2,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,4,4,4,6,6,6,6,4,4,2,2,2,2,0,0,0,0,138.0,455.0,557.0,557.0,455.0,0,2,0,1,3,0,0,0
17,10,13,5,4,4,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,145.0,450.0,585.0,585.0,450.0,0,2,0,1,1,0,0,0
19,9,17,4,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,4,2,2,0,0,0,0,0,0,194.0,436.0,691.0,691.0,436.0,0,2,0,1,1,0,0,0
18,7,13,4,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,6,4,0,0,0,0,0,0,0,0,135.0,394.0,572.0,572.0,394.0,0,2,0,1,1,0,0,0
14,13,16,2,4,4,0,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,2,4,4,4,4,6,6,6,6,6,4,4,4,2,2,2,0,0,0,0,158.0,455.0,580.0,580.0,455.0,0,2,0,1,0,0,0,0
20,8,15,4,4,4,0,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,6,8,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,174.0,420.0,661.0,661.0,420.0,0,2,0,1,1,0,0,0
18,6,14,4,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,2,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,0,137.0,386.0,580.0,580.0,386.0,0,2,0,1,1,0,0,0
24,17,20,14,6,6,0,4,4,4,4,4,2,2,4,4,4,2,4,4,4,4,2,2,4,4,4,2,2,0,0,0,4,4,4,4,2,6,6,6,6,6,6,6,6,6,8,4,4,2,0,0,0,0,342.0,771.0,954.0,954.0,771.0,1,2,1,2,1,1,3,0
17,13,18,2,4,4,0,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,2,4,4,4,6,6,6,6,6,4,4,4,2,2,2,0,0,0,0,178.0,495.0,655.0,655.0,495.0,0,2,0,1,2,0,0,0
13,11,16,2,4,4,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,2,4,4,4,4,6,6,6,6,4,4,2,2,2,0,0,0,0,0,136.0,419.0,547.0,547.0,419.0,0,2,0,1,1,0,0,0
