0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
16,4,16,6,4,4,0,0,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,0,4,2,4,4,4,4,4,2,0,0,0,0,0,0,0,0,0,126.0,390.0,576.0,576.0,390.0,1,1,1,1,3,0,2,0
22,22,25,22,8,8,0,8,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,8,0,0,4,4,4,4,2,6,6,6,6,6,2,2,4,8,8,8,6,4,4,4,4,4,0,450.0,973.0,1120.0,1120.0,973.0,2,2,2,2,1,6,4,3
18,8,14,10,4,4,0,2,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,0,0,0,0,0,0,0,4,2,2,2,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,177.0,474.0,676.0,676.0,474.0,1,1,1,1,5,2,1,3
16,11,21,3,2,2,0,2,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,0,0,0,0,2,2,2,2,2,6,6,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,223.0,469.0,704.0,704.0,469.0,1,1,1,0,2,0,3,0
16,10,17,6,2,4,0,2,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,2,2,2,4,4,4,4,4,4,4,4,4,2,2,2,2,2,0,0,0,175.0,496.0,631.0,631.0,496.0,1,1,1,1,5,0,1,0
13,11,13,13,4,4,0,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,4,4,4,4,2,2,0,0,0,0,177.0,517.0,633.0,633.0,517.0,1,1,1,1,0,4,0,0
13,8,13,14,4,2,0,0,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,0,4,4,2,2,2,2,4,4,4,4,4,4,2,2,2,2,0,0,0,177.0,507.0,597.0,597.0,507.0,1,1,1,1,1,0,1,0
10,5,14,12,4,4,0,0,2,2,2,2,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,0,0,0,0,0,2,2,2,4,4,2,2,2,2,4,2,2,2,2,2,0,0,0,0,0,147.0,386.0,557.0,557.0,386.0,1,1,1,1,0,0,0,0
9,15,14,13,4,4,0,2,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,0,0,0,0,0,2,2,4,4,2,2,2,2,2,4,4,4,4,4,4,4,2,0,0,0,200.0,568.0,605.0,605.0,568.0,1,1,1,1,0,5,0,0
26,15,26,18,6,6,0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,8,0,0,4,4,4,4,2,6,6,6,6,4,4,4,8,8,4,4,4,4,4,2,2,0,0,375.0,820.0,1135.0,1135.0,820.0,2,2,2,2,5,3,5,3
22,16,20,21,4,4,0,6,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,8,8,0,0,0,2,4,4,2,6,6,4,2,2,4,6,6,6,4,4,4,4,4,4,4,0,0,354.0,832.0,985.0,985.0,832.0,2,1,2,1,4,6,3,8
