0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
15,6,6,13,6,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,0,2,2,4,6,6,6,6,6,6,6,2,0,0,0,0,0,0,0,103.0,454.0,466.0,466.0,454.0,0,1,1,0,2,0,0,0
16,10,10,12,6,2,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,0,162.0,519.0,585.0,585.0,519.0,0,1,1,0,1,1,0,0
13,10,11,12,4,4,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,2,4,2,2,4,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,152.0,515.0,543.0,543.0,515.0,0,1,1,0,1,0,0,0
12,13,11,14,4,6,0,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,0,0,0,0,0,0,2,4,2,4,6,6,6,6,6,6,6,4,2,2,0,0,0,0,0,171.0,600.0,550.0,550.0,600.0,0,1,1,0,1,0,0,1
17,8,13,13,6,6,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,0,0,0,0,0,0,2,2,2,2,4,6,6,6,6,6,6,6,6,4,2,2,0,0,0,0,0,185.0,522.0,651.0,651.0,522.0,0,1,1,0,2,0,3,1
16,5,9,14,6,0,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,0,2,2,2,2,4,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,0,137.0,462.0,550.0,550.0,462.0,0,1,1,0,1,0,0,2
10,12,12,12,6,4,0,0,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,0,0,0,0,0,2,2,2,2,2,2,2,4,6,6,6,6,6,4,2,2,2,2,2,0,0,0,168.0,529.0,529.0,529.0,529.0,0,1,1,0,0,0,0,1
19,10,18,17,4,4,0,0,2,4,4,2,2,2,2,4,4,4,4,6,6,4,4,4,4,4,2,0,0,0,0,0,2,4,4,4,4,4,4,6,6,6,6,6,6,6,4,2,2,2,2,0,0,0,223.0,666.0,806.0,806.0,666.0,0,1,0,0,12,0,0,6
22,12,7,17,4,2,0,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,6,6,6,2,0,0,0,0,0,215.0,650.0,684.0,684.0,650.0,0,1,1,0,2,2,0,1
17,6,5,16,4,2,0,0,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,4,6,6,6,6,6,6,6,6,6,4,2,0,0,0,0,0,0,148.0,505.0,507.0,507.0,505.0,0,1,1,0,1,0,0,1
